source,target,value
Walgreens,Arby\'s,576709
McDonald\'s,Arby\'s,470412
Walmart,Arby\'s,391171
CVS Pharmacy,Arby\'s,367538
Subway,Arby\'s,297133
Starbucks,Arby\'s,286430
Shell,Arby\'s,241071
Redbox,Arby\'s,231593
Taco Bell,Arby\'s,200301
Wendy\'s,Arby\'s,199249
Burger King,Arby\'s,190741
Lowe\'s,Arby\'s,187133
Dollar General,Arby\'s,182877
Target,Arby\'s,171411
Rite Aid,Arby\'s,170330
Wells Fargo Bank,Arby\'s,162193
Dollar Tree,Arby\'s,150981
Chase Bank,Arby\'s,144758
Best Buy,Arby\'s,139120
Dunkin' Donuts,Arby\'s,132905
7-Eleven,Arby\'s,124491
KFC,Arby\'s,120589
Kohl\'s,Arby\'s,112496
Advance Auto Parts,Arby\'s,112405
Pizza Hut,Arby\'s,109339
Chick-Fil-A,Arby\'s,108488
Sonic Drive-In,Arby\'s,107162
PetSmart,Arby\'s,104502
Chevron,Arby\'s,102644
BP,Arby\'s,101852
Autozone,Arby\'s,101596
Staples,Arby\'s,100364
Exxon,Arby\'s,98943
Office Depot,Arby\'s,96895
Publix,Arby\'s,95927
Goodwill,Arby\'s,94939
Ace Hardware,Arby\'s,92268
O'Reilly Auto Parts,Arby\'s,90230
The Home Depot,Arby\'s,89360
GameStop,Arby\'s,89360
Arby\'s,Walgreens,690663
Arby\'s,Walmart,508471
Arby\'s,McDonald\'s,471357
Arby\'s,CVS Pharmacy,423834
Arby\'s,Starbucks,303502
Arby\'s,Subway,298869
Arby\'s,Redbox,243823
Arby\'s,Shell,234990
Arby\'s,Lowe\'s,226531
Arby\'s,Taco Bell,207602
Arby\'s,Wendy\'s,205630
Arby\'s,Target,203310
Arby\'s,Dollar General,192736
Arby\'s,Rite Aid,189618
Arby\'s,Burger King,188540
Arby\'s,Dollar Tree,163865
Arby\'s,Best Buy,163545
Arby\'s,Wells Fargo Bank,156803
Arby\'s,Chase Bank,145292
Arby\'s,Kohl\'s,130676
Arby\'s,Dunkin' Donuts,124821
Arby\'s,7-Eleven,122559
Arby\'s,KFC,121162
Arby\'s,PetSmart,120471
Arby\'s,Staples,117135
Arby\'s,Publix,117102
Arby\'s,Chick-Fil-A,117065
Arby\'s,Office Depot,111354
Arby\'s,Advance Auto Parts,110351
Arby\'s,Pizza Hut,110054
Arby\'s,Sonic Drive-In,105664
Arby\'s,Chevron,101132
Arby\'s,Goodwill,100595
Arby\'s,Exxon,98818
Arby\'s,Autozone,98792
Arby\'s,Ace Hardware,98777
Arby\'s,GameStop,98524
Arby\'s,Michaels,95750
Arby\'s,BP,93998
Arby\'s,The Home Depot,52252
Arby\'s,Bed Bath & Beyond,52252